Codigo;Descripcion_ES;Descripcion_EU
150540;"COLOCACION AISLAMIENTO FONICO,TERMICO,ACUSTICO CQ.CLASE Y TIPO OBRA;IMPERMEABI";"OBRA MOTA GUZTIETARAKO ISOLAMENDU FONIKO, TERMIKO ETA AKUSTIKOEN KOKAERA; ERAI "
150550;CARPINTERIA Y CERRAJERIA.;ERAIKIN ETA LOKALETAKO AROZGINTZA, ZERRAILGINTZA, DEKORAZIO ETA AKABERA 
150560;PINTURA, REVESTIMINETOS CON PAPEL, TEJIDOS O PLASTICOS Y DECORACION DE EDIFIC.;ERAIKI ETA LOKALETAKO MOTA ETA ERA GUZTIETAKO PINTURAGINTZA ETA PAPER, EHUN. 
150570;TRABAJOS EN YESO Y ESCAYOLA Y DECORACION DE EDIFICIOS Y LOCALES.;ERAIKIN ETA LOKALETAKO IGELTSUGINTZA ETA KAREGINTZA ETA DEKORAZIOA 
150600;SERVICIOS AUXILIARES DE LA CONSTRUCCION Y DRAGADOS;ERAIKINTZAREN ZERBITZU LAGUNGARRIAK ETA KARRAMARROZTAKETAK 
150700;CONSTRUCCION, REPARACION Y CONSERVACION DE TODA CLASE DE OBRAS;MOTA GUZTIETAKO OBRENERAIKINTZA, KONPONKETA ETA ARTAPENA 
150800;AGRUPACIONES Y UNIONES TEMPORALES DE EMPRESAS;ENPRESEN ALDIBATERAKO ELKARTZE ETA BATASUNAK 
161100;COMERCIO POR MAYOR TODA CLASE MERCANCIAS ESPECIFIC.EN GRUPOS 612 AL 617 Y 619;612. TALDEAN ETA 617.ETIK 619.ERA BITARTEKOETAN XEHEKATZEN DIREN MERKATALGAI M 
161210;COMERCIO MAYOR TODA CLASE P.ALIMENTICIO,BEBIDA Y TABACO ESPEC.EP.612.2 A.7Y.9;612.2. EPIGRAFETIK 612.7.ERA BITARTEKOETAN ETA 612.9.EAN ZEHAZTURIKO NEKAZAL E 
161220;MAY.CEREAL,SIMIENTE,PLANTA,ABONO,SUST.FERTILI.PLAGUICIDA,ANIMAL VIVO,TAB.RAMA,;LABORE, HAZI, LANDARE, ONGARRI, EMANGARRI, ZOMORRO HILKARI, ABERE BIZI, ADARRE 
161230;COMERCIO POR MAYOR FRUTAS Y FRUTOS,VERDURA,PATATAS,LEGUMBRE FRESCA Y HORTALIZA;FRUTA ETA FRUITU, ORTUARI, PATATA, LEKARI FRESKO ETA BARAZKIEN HANDIZKAKO MERK 
161240;COMERCIO MAYOR CARNES,PROD.Y DERIV.CARNICOS ELABORADOS,HUEVOS,AVES Y CAZA;HARAGI, HARAGIAREN EKOIZKIN ETA ERATORRIEN, ARRAULTZE, HEGAZTI ETA EHIZIEN HA 
161250;COMERCIO AL POR MAYOR DE LECHE, PRODUCTOS LACTEOS, MIEL Y GRASAS COMESTIBLES;ESNE, ESNEKI, EZTI, OLIO ETA KOIPE JANGARRIEN HANDIZKAKO MERKATARITZA. 
161260;COMERCIO AL POR MAYOR DE BEBIDAS Y TABACO;EDARIEN ETA TABAKOAREN HANDIZKAKO MERKATARITZA 
161270;COMERCIO AL POR MAYOR DE VINOS Y VINAGRES DEL PAIS;HERRIKO ARDO ETA OZPINEN HANDIZKAKO MERKATARITZA 
161280;COMERCIO AL POR MAYOR DE PESCADOS Y OTROS PRODUCTOS DE LA PESCA Y ACUICULTURA;ARRAIN ETA ARRANTZA ETA NEKAZARITZAKO BESTELAKO EKOIZKINEN HANDIZKAKO MERKATAR 
161290;COMERCIO AL POR MAYOR DE OTROS PTOS.ALIMENTICIOS, HELADOS, ETC.;BESTELAKO ATALETAN BILDU EZ DIREN EKOIZKINEN HANDIZKAKO MERKATARITZA 
161310;COMERCIO MAYOR TODA CLASE P.TEXTIL,CONFEC.CALZADO Y ART.CUERO EP.613.2 A .5-.9;613.2. EPIGRAFETIK 613.5.ERA BITARTEKOETAN ETA 613.9.EAN ZEHAZTURIKO EHUNEZKO 
161320;COMERCIO AL POR MAYOR DE TEJIDOS POR METROS, TEXTILES PARA EL HOGAR Y ALFOMBRA;METROKAKO EHUNEN ETA ETXERAKO EHUNGAI ETA ALFONBREN HANDIZKAKO MERKATARITZA 
161330;COMERCIO AL POR MAYOR DE PRENDAS EXTERIORES DE VESTIR;KANPO JANZKIEN HANDIZKAKO MERKATARITZA 
161340;COMERCIO AL POR MAYOR DE CALZADO,PELETERIA, ARTICULOS DE CUERO Y MARROQUINERIA;ZAPATA, LARRUKI, LARRUGAI ETA LARRUAZALEN HANDIZKAKO MERKATARITZA 
161350;COMERCIO AL POR MAYOR DE CAMISERIA, LENCERIA, MERCERIA Y GENEROS DE PUNTO;ALKONDARA, MIHISE, PURTZIL ETA ARTILEGAIEN HANDIZKAKO MERKATARITZA 
161390;COMERCIO AL POR MAYOR DE ACCESORIOS DEL VESTIDO Y OTROS PROD.TEXTILES N.C.O.P.;JANTZIEN ALDAGAILUEN ETA BESTELAKO ATALETAN BILDU EZ DIREN EHUNEZKO EKOIZKINEN 
161410;COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICAMENTOS;FARMAZI EKOIZKINEN ETA BOTIKEN HANDIZKAKO MERKATARITZA 
161420;COMERCIO AL POR MAYOR DE PRODUCTOS DE PERFUMERIA, DROGUERIA, HIGIENE Y BELLEZA;LURRINGINTZA, DROGAGINTZA, HIGIENE ETA EDERGINTZAKO EKOIZKINEN HANDIZKAKO MER 
161430;COMERCIO POR MAYOR DE PRODUCTOS PARA EL MANTENIMIENTO Y FUNCIONAMIENTO HOGAR;ETXEKO MATENIMENDU ETA FUNTZIONAMENDURAKO EKOIZKINEN HANDIZKAKO MERKATARITZA 
161440;COMERCIO AL POR MAYOR DE PRODUCTOS ZOOSANITARIOS;ABERE-SANITATEZKO EKOIZKINEN HANDIZKAKO MERKATARITZA 
161510;COMERCIO AL POR MAYOR DE VEHICULOS, MOTOCICLETAS, BICICLETAS Y SUS ACCESORIOS;IBILGAILU, MOTOZIKLETA, BIZIKLETA ETA EUREN ALDAGAILUEN HANDIZKAKO MERKATARITZ 
161520;COMERCIO AL POR MAYOR DE MUEBLES;ALTZARIEN HANDIZKAKO MERKATARITZA 
161530;COMERCIO AL POR MAYOR DE APARATOS ELECTRODOMESTICOS Y FERRETERIA;ELEKTRATRESNEN ETA BURDINAGINTZAKO APARATUEN HANDIZKAKO MERKATARITZA 
161540;COMERCIO AL POR MAYOR DE APARATOS Y MATERIAL RADIOELECTRICOS Y ELECTRONICOS;MATERIAL APARATU IRRATIELEKTRIKO ETA ELEKTRONIKOEN HANDIZKAKO MERKATARITZA 
161550;COMERCIO AL POR MAYOR DE OBRAS DE ARTE Y ANTIGUEDADES;ARTELAN ETA AINTZINATEKOEN HANDIZKAKO MERKATARITZA 
161560;GALERIAS DE ARTE;ARTE ARETOAK 
161590;COMERCIO MAYOR OTROS ARTICULOS DE CONSUMO DURADERO NO ESPECIFIC.EP.ANTERIORES;KONTSUMO IRAUNKORREKOAK IZAN BAINA AURREKO EPIGRAFEETAN ZEHAZTU EZ DIREN BEST 
161610;COMERCIO AL POR MAYOR DE CARBON;IKATZAREN HANDIZKAKO MERKATARITZA 
161620;COMERCIO AL POR MAYOR DE HIERRO Y ACERO;BURDINA ETA ALTZAIRUAREN HANDIZKAKO MERKATARITZA 
161630;COMERCIO AL POR MAYOR DE MINERALES;MEEN HANDIZKAKO MERKATARITZA 
161640;COMERCIO AL POR MAYOR DE METALES NO FERREOS EN BRUTO Y PRODUCTOS SEMIELABORADO;GORDINETAKO METAL EZ BURDINAZKOEN ETA EKOIZKIN ERDIGERTUTUEN HANDIZKAKO MERKAT 
161650;COMERCIO AL POR MAYOR DE PETROLEO Y LUBRICANTES;PETROLIO ETA LABAINGAIEN HANDIZKAKO MERKATARITZA 
161660;COMERCIO AL POR MAYOR DE PRODUCTOS QUIMICOS INDUSTRIALES;INDUSTRIAKO EKOIZKIN KIMIKOEN HANDIZKAKO MERKATARITZA 
161690;OTRO CONSUMO POR MAYOR INTERINDUSTRIAL DE LA MINERIA Y QUIMICA NO ESP.EP.ANTER;MEATZARITZA ETA KIMIKA INDUSTRIEN ARTEKOA IZAN BAINA AURREKO EPIGRAFEETAN ZEHA 
161710;COMERCIO AL POR MAYOR DE FIBRAS TEXTILES BRUTAS Y PRODUCTOS SEMIELABORADOS;EHUNEZKO ZUNTZ GORDINEN ETA EKOIZKIN ERDIGERTUTUEN HANDIZKAKO MERKATARITZA 
161720;COMERCIO AL POR MAYOR DE CUEROS Y PIELES EN BRUTO;GORDINETAKO LARRU ETA LARRUAZALEN HANDIZKAKO MERKATARITZA 
161730;COMERCIO AL POR MAYOR DE MADERA Y CORCHO;ZUR KORTXOEN HANDIZKAKO MERKATARITZA 
161740;COMERCIO POR MAYOR DE MATERIALES DE CONSTRUCCION,VIDRIO Y ART.DE INSTALACION;ERAIKINTZA ETA BEIRAGINTZAKO MATERIAL ETA INSTALAZIOGAIEN HANDIZKAKO MERKATARI 
161750;COMERCIO AL POR MAYOR DE MAQUINARIA PARA LA MADERA Y EL METAL;ZUR ETA METALERAKO MAKINERIAREN HANDIZKAKO MERKATARITZA 
161760;COMERCIO AL POR MAYOR DE MAQUINARIA AGRICOLA;NEKAZAL MAKINERIAREN HANDIZKAKO MERKATARITZA 
161770;COMERCIO AL POR MAYOR DE MAQUINARIA TEXTIL;EHUN MAKINERIAREN HANDIZKAKO MERKATARITZA 
161780;COMERCIO AL POR MAYOR DE MAQUINAS Y MATERIAL DE OFICINA;BULEGOKO MATERIAL MAKINEN HANDIZKAKO MERKATARITZA 
161790;COMERCIO MAYOR INTERINDUSTRIAL (EXCEP.MINERIA,QUIMICA) OTROS PROD.MAQ.N.C.O.P.;INDUSTRIEN ARTEKOA IZAN (MEATZARITZA ETA KIMIKA EZIK) BAINA AURREKO ATALETAN B 
161810;COMERCIALES EXPORTADORAS (EXPORTACION DE TODA CLASE DE MERCANCIAS);MERKATARI ESPORTATZAILEAK (MERKATALGAI MOTA GUZTIEN ESPORTAZIOA) 
161820;COMERCIO AL POR MAYOR DE TODA CLASE DE MERCANCIAS,EN ZONAS Y DEPOSITOS FRANCOS;MERKATALGAI GUZTIEN HANDIZKAKO MERKATARITZA, ALDE ETA GORDAILU FRANKOETAN BER 
161910;COMERCIO AL POR MAYOR DE JUGUETES Y ARTICULOS DE DEPORTE;JOSTAILU ETA KIROLGAIEN HANDIZKAKO MERKATARITZA 
161920;COMERCIO MAYOR APARATOS E INSTRUMENTOS MEDICOS,ORTOPEDICOS,OPTICOS Y FOTOGRAF.;MEDIKUNTZA, ORTOPEDIA, OPTIKA ETA ARGAZKIGINTZAKO APARATU ETA TRESNEN HANDIZKA 
161930;COMERCIO MAYOR METALES PRECIOSOS, ARTICULOS DE JOYERIA, BISUTERIA Y RELOJERIA;METAL BITXI, HARRIBITXIGINTZA, BISUTEGINTZA ETA ERLOJUGINTZAKO GAIEN HANDIZKA 
161940;COMERCIO AL POR MAYOR DE PRODUCTOS DE PAPEL Y CARTON;PAPER ETA KARTOIZKO EKOIZKINEN HANDIZKAKO MERKATARITZA 
161950;COMERCIO MAYOR ARTICULOS PAPELERIA Y ESCRITORIO,ARTIC. DIBUJO Y BELLAS ARTES;PAPERGAI ETA IDAZGUKO GAIEN, MARRAZKIGINTZA ETA ARTE EDERRETAKO GAIEN HANDIZK 
161960;COMERCIO AL POR MAYOR DE LIBROS, PERIODICOS Y REVISTAS;LIBURU, EGUNKARI ETA ALDIZKARIEN HANDIZKAKO MERKATARITZA 
161970;COMERCIO AL POR MAYOR DE INSTRUMENTOS DE PRECISION, MEDIDA Y SIMILARES;ZEHAZTASUN ETA NEURRI- TRESNEN ETA ANTZEKOEN HANDIZKAKO MERKATARITZA 
161980;COMPRA-VENTA DE GANADO;ABEREN SALEROSKETA 
161990;COMERCIO AL POR MAYOR DE OTROS PRODUCTOS N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN EKOIZKINEN HANDIZKAKO MERKATARITZA 
162100;COMERCIO AL POR MAYOR DE CHATARRA Y METALES DE DESECHO FERREOS Y NO FERREOS;TXATARRA ETA BURDINAZKO ETA EZ BURDINAZKO HONDAKIN METALEN MERKATARITZA 
162200;COMERCIO AL POR MAYOR DE OTROS PRODUCTOS DE RECUPERACION;BERRESKURAKETAKO BESTELAKO EKOIZKINEN HANDIZKAKO MERKATARITZA 
162300;RECUPERACION Y COMERCIO DE RESIDUOS FUERA DE ESTABLECIMIENTO PERMANENTE;HONDAKINEN BERRESKURAKETA ETA MERKATARITZA ESTABLEZIMENDU IRAUNKORRETIK KANPO 
163100;INTERMEDIARIOS DEL COMERCIO;MERKATARITZAKO BITARTEKARIAK 
164100;COMERCIO AL POR MENOR DE FRUTAS, VERDURAS, HORTALIZAS Y TUBERCULOS;FRUITA, BARAZKI, ORTUARI ETA TUBERKULUEN TXIKIZKAKO MERKATARITZA 
164210;"MENOR CARNES Y DESPOJOS;PROD.Y DERIV.CARNICOS ELABOR;HUEVOS,AVES,CONEJOS GRAN.";"HARAGI ETA HONDAKINEN; HARAGIGAI ETA HARAGIKI GERTUTUEN, ARRAULTZE, HEGAZTI, A "
164220;MENOR,EN DEPENDENCIA DE VENTA DE CARNICERIAS-CHARCUTERIAS, CARNE FRESCA Y DER.;HARATEGI URDAITEGIETAN EGITEN DEN HARAGI FRESKO ETA IZOZTUEN, HONDAKIN ETA HAR 
164230;MENOR, EN DEPENDENCIA DE VENTA CARNICERIA-SALCHICHERIA,CARNE FRESCA Y CONGELA.;HARATEGI URDAITEGIETAN EGITEN DEN HARAGI FRESKO ETA IZOZTUEN, HONDAKIN, HARAKI 
164240;MENOR, EN CARNICERIA, CARNE FRESCA Y CONGELADA, DESPOJO Y PROD.DERIV.CARN.ELAB;HARATEGIETAN EGITEN DEN HARAGI FRESKO ETA IZOZTUEN, HONDAKIN ETA HARAGIGAI ETA 
164250;"MENOR DE HUEVOS,AVES,CONEJOS DE GRANJA,CAZA; Y PROD. DERIVADOS DE LOS MISMOS";ARRAULTZE, HEGAZTI, ABELETXEKO UNTXI, EHIZIEN ETA BERAIEN EKOIZKIN ERATORRIEN 
164260;MENOR CASQUERIAS,VISCERA Y DESPOJO PROCEDENTE ANIMALES DE ABASTO,FRESCO-CONGE.;HONDAKIN SALTOKIETAN EGITEN DEN ABASTUKO ANIMALIEN, FRESKO ETA IZOZTUEN ERRAI 
164310;COMERCIO POR MENOR PESCADO Y OTROS PRODUCTOS DE PESCA Y ACUICULTURA Y CARACOL.;ARRAINEN ETA ARRANTZA ETA URZANTZAKO BESTE EKOIZKINEN ETA BARRASKILOEN TXIKIZK 
164320;COMERCIO AL POR MENOR DE BACALAO Y OTROS PESCADOS EN SALAZON;BAKAILU ETA GAZIDURAKO BESTE ARRAIN BATZUREN TXIKIZKAKO MERKATARITZA 
164410;COMERCIO POR MENOR PAN,PASTELERIA,CONFITERIA Y SIMILARES Y LECHE Y PRO.LACTEOS;OGI, GOZOKI, KONFITE ETA ANTZEKOEN BAITA ESNE ETA ESNEKIEN TXIKIZKAKO MERKATAR 
164420;DESPACHOS DE PAN, PANES ESPECIALES Y BOLLERIA;OGI, OGI BEREZI ETA OPILEN SALMENTAK 
164430;COMERCIO AL POR MENOR DE PRODUCTOS DE PASTELERIA, BOLLERIA Y CONFITERIA;GOZOKIGINTZA, OPILGINTZA ETA KONFITEGINTZAKO EKOIZKINEN TXIKIZKAKO MERKATARIT 
164440;COMERCIO AL POR MENOR DE HELADOS;IZOZKIEN TXIKIZKAKO MERKATARITZA 
164450;COMERCIO AL POR MENOR DE BOMBONES Y CARAMELOS;BONBOI ETA KARAMELUEN TXIKIZKAKO MERKATARITZA 
164460;MENOR MASAS FRITAS,PATATAS F.PRO.APERITIVO,FRUTO SECO,GOLOSINA,PRE.CHOCO.BEBI.;ORE FRIJITU, ESTALIEN EDOTA ESTALKABEEN NAHIZ BARRUBETEEN, PATATA FRIJITUEN, 
164500;COMERCIO AL POR MENOR DE VINOS Y BEBIDAS DE TODAS CLASES;MOTA GUZTIETAKO ARDO ETA EDARIEN TXIKIZKAKO MERKATARITZA 
164610;MENOR LABORES TABACO TODA CLASE Y FORMA EN EXPENDEDURIA GRAL.,ESPEC.E INTERIO.;MOTA ETA ERA GUZTIETAKO TABAKO BARIETATEEN TXIKIZKAKO MERKATARITZA, SALTOKI O 
164620;MENOR LABORES TABACO TODA CLASE Y FORMA EN EXTENSION TRANSITORIA DE EXPE.GRAL.;SALTOKI NAGUSIETAKO ZABALKUNDE IRAGANKORRETAKO MOTA ETA ERA GUZTIETAKO TABAKO- 
164630;MENOR LABORES DE TABACO TODA CLASE Y FORMA EN EXPENDE.CARACTER COMPLEMENTARIO;MOTA GUZTIETAKO TABAKO-BARIETATEEN TXIKIZKAKO MERKATARITZA, GEHIGARRI IZAERAZ 
164640;MENOR LABORES TABACO,EN ESTABLECI.EN REGIMEN DE AUTORIZACION VENTA CON RECARGO;MERKATAL ESTABLEZIMENDUEK, ERREKARGUKO SALMENTARAKO BAIMEN-ERREGIMENEAN, EGITE 
164651;CUOTA MUNICIPAL, EL TITULAR DEL ESTABLECIMIENTO;UDALAREN KUOTA, ESTABLEZIMENDUAREN TITULARRARI DAGOKIONA 
164652;CUOTA ESTATAL, EL PROPIETARIO DE LA MAQUINA;ESTATUAREN KUOTA, MAKINAREN TITULARRARI DAGOKIONA 
164660;MENOR TABACOS TODAS CLASES Y FORMAS, LOCALID.DONDE NO ESTA ESTANCADA LA VENTA;MOTA ETA ERA GUZTIETAKO TABAKO BARIETATEEN TXIKIZKAKO MERKATARITZA, SALMENTARA 
164670;MENOR LABORES TABACO REALIZADO POR MINUSVA.FISI.TITULARES AUTORIZACION ESPECI.;BAIMEN BEREZIEN JABE DIREN MINUSBALIODUN FISIKOEK EGITEN DUTEN TABAKO-BARIETAT 
164680;COMERCIO AL POR MENOR DE ARTICULOS PARA FUMADORES;ERRETZAILEENTZAKO GAIEN TXIKIZKAKO MERKATARITZA 
164710;MENOR CUALQUIER CLASE PRODUCTOS ALIMENTICIOS Y BEBIDAS EN ESTABL.CON VENDEDOR;MOTA GUZTIETAKO JANGAI ETA EDARIEN TXIKIZKAKO MERKATARITZA, SALTZAILEDUN ESTAB 
164720;MENOR CUALQUIER CLASE ALIMENTOS Y BEBIDAS EN AUTOSER.O MIXTO SUP.MENOR 120 M2;MOTA GUZTIETAKO JANGAI ETA EDARIEN TXIKIZKAKO MERKATARITZA, AUTOZERBITZUKO ER 
164730;MENOR CUALQUIER CLASE ALIMENTOS Y BEBIDAS EN AUTOSER.O MIXTO ENTRE 120 Y 399 M;SUPERZERBITZUETAN EGITEN DEN MOTA GUZTIETAKO JANGAI ETA EDARIEN TXIKIZKAKO MER 
164740;MENOR CUALQUIER CLASE ALIMENTOS Y BEBIDAS AUTOSER.O MIXTO SUP.IGUAL O + 400 M2;SUPERMERKATUETAN EGITEN DEN MOTA GUZTIETAKO JANGAI ETA EDARIEN TXIKIZKAKO MERK 
164751;CUOTA MUNICIPAL, EL TITULAR DEL ESTABLECIMIENTO;UDALAREN KUOTA, ESTABLEZIMENDUAREN TITULARRARI DAGOKIONA 
164752;CUOTA ESTATAL, EL PROPIETARIO DE LA MAQUINA;ESTATUAREN KUOTA, MAKINAREN TITULARRARI DAGOKIONA 
165110;MENOR PROD.TEXTIL,CONFECCION PARA EL HOGAR,ALFOMBRA Y SIMILAR Y ART.TAPICERIA;ETXERAKO EHUNGINTZAGAI ETA JANTZIGAIEN, ALFONBRA ETA ANTZEKOEN, BAITA TAPIZGI 
165120;COMERCIO AL POR MENOR DE TODA CLASE DE PRENDAS PARA EL VESTIDO Y TOCADO;GORPUTZ ETA BURURAKO MOTA GUZTIETAKO JANZKIEN TXIKIZKAKO MERKATARITZA 
165130;COMERCIO AL POR MENOR DE CAMISERIA, LENCERIA Y CORSETERIA;ALKONDARA, MIHISE ETA KORTSEEN TXIKIZKAKO MERKATARITZA 
165140;COMERCIO AL POR MENOR DE ARTICULOS DE MERCERIA Y PAQUETERIA;PURTZILGINTZA ETA FARDELGINTZAKO GAIEN TXIKIZKAKO MERKATARITZA 
165150;COMERCIO AL POR MENOR DE PRENDAS ESPECIALES;JANZKI BEREZIEN TXIKIZKAKO MERKATARITZA 
165160;MENOR CALZADO,ART.PIEL E IMITACION O PROD.SUSTITUTIVO,CINTURON,CARTERA,BOLSO,;ZAPATA, LARRUAZALGAI ETA IMITAZIOGAI NAHIZ ORDEZKO EKOIZKIN, GERRIKO, KARTERA 
165170;COMERCIO AL POR MENOR DE CONFECCIONES DE PELETERIA;LARRUKIGINTZAKO JANTZIEN TXIKIZKAKO MERKATARITZA 
165210;FARMACIAS:COMERCIO MENOR MEDICAMENTOS,PROD.SANITARIOS Y DE HIGIENE PERSONAL;FARMAZIAK: BOTIKA, SANITATE ETA NORBERE HIGIENERAKO EKOIZKINEN MERKATARITZA 
165220;MENOR PROD.DROGUERIA,PERFUMERIA Y COSMETICA,LIMPIEZA,PINTURA,BARNICES,DISOLVE.;DROGAGINTZA, LURRINGINTZA ETA KOSMETIKA, GARBIKETAKO GAIEN, PINTURA, BERNIZ, . 
165230;MENOR PROD.PERFUMERIA Y COSMETICA, Y ARTICULOS PARA LA HIGIENE Y ASEO PERSONAL;LURRINGINTZA ETA KOSMETIKAKO EKOIZKIN ETA NORBERE HIGIENE ETA GARBIKETARAKO . 
165240;COMERCIO AL POR MENOR DE PLANTAS Y HIERBAS EN HERBOLARIOS;BELARDENDETAKO LANDARE ETA BELARREN TXIKIZKAKO MERKATARITZA 
165310;COMERCIO AL POR MENOR DE MUEBLES (EXCEPTO LOS DE OFICINA);ALTZARIEN TXIKIZKAKO MERKATARITZA (BULEGOKOAK EZIK) 
165320;MENOR MATERIAL Y APARATOS ELECTRICOS,ELECTRONICOS Y ELECTRODOMESTICOS Y OTROS;MATERIAL APARATU ELEKTRIKO, ELEKTRONIKOEN ETA ELEKTRATRESNEN, ARGINDARRA EZ . 
165330;MENOR ART.MENAJE Y FERRET.ADORNO, REGALO Y RECLAMO (INC.BISUTE.Y PEQ.ELECTROD.;APAINDURA, OPARI ETA ERAKARGARRITASUNEKO TRESNA ETA BURDINKIEN TXIKIZKAKO MER 
165340;MENOR DE MATERIALES DE CONSTRUCCION Y DE ARTICULOS Y MOBILIARIO DE SANEAMIENTO;ERAIKINTZAKO MATERIALEN ETA SANEAMENDUKO GAI ETA ALTZARIEN TXIKIZKAKO MERKATAR 
165350;MENOR PUERTA, VENTA.Y PERSIA.,MOLDURA Y MARCO,TARIMA Y PARQUET-MOSAICO,CESTER.;ATE, LEIHO ETA PERTSIANEN, MOLDURA ETA MARKOEN, OHOLTZA ETA PARKET MOSAIKOEN. 
165360;COMERCIO AL POR MENOR DE ARTICULOS DE BRICOLAGE;BIRKOLAIAZKO GAIEN TXIKIZKAKO MERKATARITZA 
165390;MENOR DE OTROS ARTICULOS PARA EL EQUIPAMIENTO DEL HOGAR N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN ETXEKO EKIPAMENDURAKO GAIEN TXIKIZKAKO MERKA 
165410;COMERCIO AL POR MENOR DE VEHICULOS TERRESTRES;LURGAINEKO IBILGAILUEN TXIKIZKAKO MERKATARITZA 
165420;COMERCIO POR MENOR DE ACCESORIOS Y PIEZAS RECAMBIO PARA VEHICULOS TERRESTRES;LURGAINEKO IBILGAILUETARAKO ALDAGAILU ETA ORDEZKAIEN TXIKIZKAKO MERKATARITZA 
165430;COMERCIO AL POR MENOR DE VEHICULOS AEREOS;AIREZKO IBILGAILUEN TXIKIZKAKO MERKATARITZA 
165440;COMERCIO POR MENOR VEHICULOS FLUVIALES Y MARITIMOS DE VELA O MOTOR Y DEPORTIV.;IBAI ITSASOETAKO IBILGAILU BELADUN NAHIZ MOTOREDUNEN ETA KIROLETARAKOEN TXIKIZ 
165450;COMERCIO MENOR TODA CLASE MAQUINARIA(EXC.APAR.HOGAR,OFIC.MEDIC.ORTOP.OPTI.FOT);MOTA GUZTIETAKO MAKINERIAREN TXIKIZKAKO MERKATARITZA (ETXEKO APARATUAK, BULEG. 
165460;COMERCIO MENOR DE CUBIERTAS, BANDAS Y CAMARAS PARA TODA CLASE DE VEHICULOS.;NOLANAHIKO IBILGAILUTARAKO GURPILAZAL, BANDA EDO BANDAI ETA AIRE KAMAREN . 
165510;COMERCIO POR MENOR COMBUSTIBLES DE TODAS CLASES, EXCEPTO GASES Y CARBURANTES;MOTA GUZTIETAKO ERREGAIEN TXIKIZKAKO MERKATARITZA, GAS ETA KARBURAGAIAK EZIK 
165520;COMERCIO AL POR MENOR DE GASES COMBUSTIBLES DE TODAS CLASES;MOTA GUZTIETAKO GAS ERREGAIEN TXIKIZKAKO MERKATARITZA 
165530;COMERCIO POR MENOR DE CARBURANTES PARA SURTIDO VEHICULO Y ACEITE Y GRASA LUBR.;IBILGAILUEN HORNIDURARAKO ERREGAIEN ETA OLIO ETA KOIPE LABAINGAIEN TXIKIZKAKO 
165540;SERVICIOS DE RECARGA ENERGETICA PARA VEHICULOS ELECTRICOS EN EL AMBITO PRIVADO;EREMU PRIBATUAN IBILGAILU ELEKTRIKOETARAKO ENERGIA BIRKARGATZEKO ZERBITZUAK 
165550;SERVICIOS DE RECARGA ENERGETICA PARA VEHICULOS ELECTRICOS EN EL AMBITO PUBLICO;EREMU PUBLIKOAN IBILGAILU ELEKTRIKOETARAKO ENERGIA BIRKARGATZEKO ZERBITZUAK 
165600;COMERCIO MENOR DE BIENES USADOS, COMO MUEBLES, PRENDAS Y ENSERES ORDINARIOS;ONDASUN ERABILIEN TXIKIZKAKO MERKATARITZA: ALTZARIAK, JANTZIAK ETA ETXEAN . 
165700;COMERCIO MENOR DE INSTRUMENTOS MUSICALES Y SUS ACCESORIOS;OROTARIKO MUSIKATRESNEN ETA BERAUEN ALDAGAILUEN TXIKIZKAKO MERKATARITZA 
165910;COMERCIO MENOR SELLO,MONEDAS,OBRAS ARTE, ANTIGUEDADES,OBJETSO DE COLECCION.;BILDUMAGILEENTZAKO ZIGILU, MONETA, OROIDOMINA ETA BILETEEN, ARTELAN ETA AINTZI 
165920;COMERCIO AL POR MENOR DE MUEBLES DE OFICINA Y DE MAQUINAS Y EQUIPOS DE OFICINA;BULEGOKO ALTZARIEN ETA BULEGOKO MAKINA EKIPOEN TXIKIZKAKO MERKATARITZA 
165930;COMERCIO MENOR APARATOS E INSTRUMENTOS MEDICOS,ORTOPEDICOS,OPTICOS Y FOTOGFRA.;MEDIKUNTZA, ORTOPEDIA, OPTIKA ETA ARGAZKIGINTZAKO APARATU ETA TRESNEN TXIKIZKA 
165940;COMERCIO MENOR LIBROS, PERIODICOS, ART.PAPEL.Y ESCRIT.Y DIBUJO Y BELLAS ARTES;LIBURU, ALDIZKARI, PAPERGINTZA ETA IDAZGUKO GAI ETA MARRAZKIGINTZA ETA ARTE ED 
165950;COMERCIO AL POR MENOR DE ARTICULOS DE JOYERIA, RELOJERIA, PLATERIA Y BISUTERIA;HARRIBITXIGINTZA, ERLOJUGINTZA, ZILARGINTZA ETA BISUTEGINTZAKO GAIEN TXIKIZKAK 
165960;COMERCIO POR MENOR JUGUETE,ART.DEPORTE,PRENDA DEPORTIVA,CALZADO Y TOCADO,ARMAS;JOSTAILU, KIROLGAI, KIROL JANZKI, ZAPATA ETA BURU APAINGAILU, ARMA, KARTUTXO 
165970;COMERCIO AL POR MENOR DE SEMILLAS, ABONOS,FLORES Y PLANTAS Y PEQUEÑOS ANIMALES;HAZI, ONGARRI, LORE ETA LANDAREEN, BAITA ANIMALIA TXIKIEN TXIKIZKAKO MERKAT 
165980;COMERCIO AL POR MENOR DENOMINADO -SEXSHOP-;#¿NOMBRE? 
