Codigo;Descripcion_ES;Descripcion_EU
123120;EXTRACCION DE ROCAS Y PIZARRAS PARA LA CONSTRUCCION;HAITZ ETA HARBELEN ERAUZKETA, ERAIKINTZARAKO 
123130;EXTRACCION DE ARENAS Y GRAVAS PARA LA CONSTRUCCION;AREA ETA LEGARREN ERAUZKETA, ERAIKINTZARAKO 
123140;EXTRACCION DE YESO;IGELTSUEN ERAUZKETA. 
123190;EXTRACCION DE OTROS MATERIALES DE CONSTRUCCION N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN ERAIKINTZAKO MATERIALEN ERAUZKETA 
123210;EXTRACCION DE OPERATIONS POTASICAS;POTASIO GATZEN ERAUZKETA 
123220;EXTRACCION DE FOSFATOS Y NITRATOS;FOSFATO ETA NITRATOEN ERAUZKETA 
123310;EXTRACCION DE SAL MARINA;ITSASOKO GATZAREN ERAUZKETA 
123320;EXTRACCION DE SAL MANANTIAL Y SAL GEMA;URBEGIKO GATZAREN ETA GEMA GATZAREN ERAUZKETA 
123400;EXTRACCION DE PIRITAS Y AZUFRE;SUFRE PIRITEN ERAUZKETA 
123910;EXTRACCION DE FLUORITA;FLUORITAREN ERAUZKETA 
123920;EXTRACCION DE TURBA;ZOHIKATZAREN ERAUZKETA 
123990;EXTRACCION DE OTROS MINERALES NO METALICOS NI ENERGETICOS N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN ETA EZ METALIK EZ ENERGIARIK DUTEN MEEN ERA. 
124100;FABRICACION DE PRODUCTOS TIERRAS COCIDAS PARA LA CONSTRUCCION (EXCEP.REFRA.);ERAIKINTZARAKO LUR EGOSIZKO EKOIZKINEN MATERIALEN FABRIKAZIOA (GAI ERREGOGORR. 
124210;FABRICACION DE CEMENTOS ARTIFICIALES;ZEMENTU ARTIFIZIALEN FABRIKAZIOA 
124220;FABRICACION DE CEMENTOS NATURALES;IZADIKO ZEMENTUEN FABRIKAZIOA 
124230;FABRICACION DE CALES Y YESO;IGELTSU KAREEN FABRIKAZIOA 
124310;FABRICACION DE HORMIGONES PREPARADOS;ORMIGOI PRESTATUEN FABRIKAZIOA 
124320;FABRICACION DE PRODUCTOS EN FIBROCEMENTO;FIBROZEMENTUZKO EKOIZKINEN FABRIKAZIOA 
124330;FABRICACION DE OTROS ARTICULOS DERIVADOS DEL CEMENTO, EXCEPTO PAVIMENTOS;ZEMENTUAREN BESTE EKOIZKIN ERATORRI BATZUREN FABRIKAZIOA, ZOLADURAK EZIK 
124340;FABRICACION DE PAVIMENTOS DERIVADOS DEL CEMENTO;ZEMENTUZKO ZOLADURA ERATORRIEN FABRIKAZIOA 
124350;FABRICACION DE ARTICULOS DERIVADOS DEL YESO Y ESCAYOLA;IGELTSU ESKAIOLEN GAI ERATORRIEN FABRIKAZIOA 
124400;INDUSTRIAS DE LA PIEDRA NATURAL;IZADIKO HARRIAREN INDUSTRIAK 
124500;FABRICACION DE ABRASIVOS;KISKALGAILUEN FABRIKAZIOA 
124610;FABRICACION DE VIDRIO PLANO;BEIRA LAUNAREN FABRIKAZIOA 
124620;FABRICACION DE VIDRIO HUECO;BEIRA HUTSAREN FABRIKAZIOA 
124630;FABRICACION DE VIDRIO TECNICO;BEIRA TEKNIKOAREN FABRIKAZIOA 
124640;FABRICACION DE FIBRA DE VIDRIO;BEIRAZKO ZUNTZAREN FABRIKAZIOA 
124650;MANIPULADO DE VIDRIO;BEIRAREN ESKUZTAPENA. 
124660;FABRICACION DE FRITAS Y ESMALTES CERAMICOS;FRITAKINEN ETA ESMALTE ZERAMIKOEN FABRIKAZIOA 
124710;FABRICACION DE ARTICULOS REFRACTARIOS;GAI ERREGOGORREN FABRIKAZIOA 
124720;FABRICACION DE BALDOSAS PARA PAVIMENTACION O REVESTIMIENTO SIN BARNIZAR NI ESM;ZOLADURAAK EDOTA GAINJAZKIAK EGITEKO DIREN BALDOSA BERNIZTUGABE ETA ESMALTATU 
124730;FABRICACION DE BALDOSAS PARA PAVIMENTACION O REVESTIMIENTO BARNIZADAS O ESMALT;ZOLADURAK EDOTA GAINJAZKIAK EGITEKO DIREN BALDOSA BERNIZTU ETA ESMALTATUEN FA. 
124740;FABRICACION DE VAJILLAS, ARTICULOS DEL HOGAR Y OBJ. ADORNO, DE MATERIAL CERAMI;BAXERERIA, ETXEKO GAI ETA ZERAMIKAZKO MATERIALEN APAINKETARAKO GAIEN FABRIKAZI 
124750;FABRICACION DE APARATOS SANITARIOS DE LOZA, PORCELANA, Y GRES;LOZA, PORTZELANA ETA GRESEZKO SANITATE APARATUEN FABRIKAZIOA 
124760;FABRICACION AISLADORES Y PIEZAS AISLANTES MATERIAL CERAMICO PARA INSTAL.ELECT.;INSTALAZIO ELEKTRIKOETARAKO ZERAMIKAZKO ISOLAGAILU ETA PIEZA ISOLAGARRIEN FAB. 
124790;FABRICACION DE OTROS ARTICULOS CERAMICOS N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN ZERAMIKAZKO GAIEN FABRIKAZIOA. 
124900;INDUSTRIAS DE OTROS PRODUCTOS MINERALES NO METALICOS N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN METALIK GABEKO MEA-EKOIZKINEN FABRIKAZIOA 
125110;FABRICACION DE PRODUCTOS QUIMICOS ORGANICOS DE ORIGEN PETROQUIMICO;JATORRI PETROKIMIKOA DUTEN EKOIZKIN KIMIKO ORGANIKOEN FABRIKAZIOA 
125120;FABRICACION DE OTROS PRODUCTOS QUIMICOS ORGANICOS;BESTE EKOIZKIN KIMIKO ORGANIKO BATZUREN FABRIKAZIOA 
125130;FABRICACION DE PRODUCTOS QUIMICOS INORGANICOS (EXCEPTO GASES COMPRIMIDOS);EKOIZKIN KIMIKO EZ ORGANIKOEN FABRIKAZIOA (GAS KONPRIMATUAK EZIK) 
125140;FABRICACION DE PRIMERAS MATERIAS PLASTICAS;LEHENGAI PLASTIKOEN FABRIKAZIOA 
125150;FABRICACION DE CAUCHOS Y LATEX SINTETICOS;KAUTXU ETA LATEX SINTETIKOEN FABRIKAZIOA 
125160;PRODUCCION DE FIBRAS ARTIFICIALES Y SINTETICAS;ZUNTZ ARTIFIZIAL SINTETIKOEN EKOIZPENA 
125170;FABRICACION DE ACIDO ANHIDRIDO FTALICO Y MALEICO;AZIDO ETA ANHIDRIDO FTALIKO MALEIKOEN FABRIKAZIOA 
125210;FABRICACION DE ABONOS;ONGARRIEN FABRIKAZIOA 
125220;FABRICACION DE PLAGUICIDAS;ZOMORRO HILKARIEN FABRIKAZIOA 
125310;FABRICACION DE GASES COMPRIMIDOS;GAS KONPRIMATUEN FABRIKAZIOA 
125320;FABRICACION DE COLORANTES Y PRIGMENTOS;KOLOREKARI ETA PIGMENTUEN FABRIKAZIOA 
125330;FABRICACION DE PINTURAS, BARNICES Y LACAS;PINTURA, BERNIZ ETA LAKEN FABRIKAZIOA 
125340;FABRICACION DE TINTAS DE IMPRENTA;MOLDIZTEGIKO TINDEN FABRIKAZIOA 
125350;TRATAMIENTO DE ACEITES Y GRASAS PARA USOS INDUSTRIALES;INDUSTRIAN ERABILTZEKO DIREN OLIO ETA KOIPEEN FABRIKAZIOA 
125360;FABRICACION DE ACEITES ESENCIALES Y DE SUSTANCIAS AROMATICAS, NATURALES Y SINT;ESENTZIAZKO OLIOEN ETA SUBSTANTZIA AROMATIKO NATURAL ETA SINTETIKOEN FABRIKAZI 
125370;FABRICACION DE COLAS Y GELATINAS Y PROD.AUXILIARES PARA IND.TEXTIL,CUERO Y CAU;EHUN, LARRU ETA KAUTXUGINTZARAKO KOLA, GELATINA ETA EKOIZKIN LAGUNGARRIEN FAB. 
125380;FABRICACION DE EXPLOSIVOS;LEHERGAILUEN FABRIKAZIOA 
125390;FABRICACION DE OTROS PRODUCTOS QUIMICOS DE USO INDUSTRIAL N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN INDUSTRI ERABILERAKO EKOIZKIN KIMIKOEN FABR. 
125410;FABRICACION DE PRODUCTOS FARMACEUTICOS;BASEZKO FARMAZI EKOIZKINEN FABRIKAZIOA 
125420;FABRICACION DE ESPECIALIDADES Y OTROS PRODUCTOS FARMACEUTICOS;FARMAZIAKO ESPEZIALITATEEN ETA BESTE EKOIZKIN BATZUREN FABRIKAZIOA 
125510;FABRICACION DE JABONES COMUNES, DETERGENTES Y LEJIAS;XABOI ARRUNT, GARBIKARI ETA LIXIBEN FABRIKAZIOA 
125520;FABRICACION DE JABONES DE TOCADOR Y OTROS PRODUCTOS DE PERFUMERIA Y COSMETICA;APAINMAHAIKO XABOIEN ETA LURRINGINTZA ETA KOSMETIKAKO BESTE EKOIZKIN BATZUREN 
125530;FABRICACION DE DERIVADOS DE CERAS Y PARAFINAS;EZKO ETA PARAFINEN ERATORRIEN FABRIKAZIOA 
125540;FABRICACION DE MATERIAL FOTOGRAFICO SENSIBLE;EZKO ETA PARAFINEN ERATORRIEN FABRIKAZIOA 
125550;FABRICACION DE ARTICULOS PIROTECNICOS, CERILLAS Y FOSFOROS;PIROTEKNIAGAIEN, SUPIZTEKO ETA POSPOLUEN FABRIKAZIOA 
125590;FABRICACION OTROS PRODUCTOS QUIMICOS DESTINADOS PRINCI.AL CONSUMO FINAL N.C.O.;BATEZ ERE AZKEN KONTSUMORAKO ERABILTZEKO IZAN BAINA BESTELAKO ATALETAN BILDU. 
131110;FUNDICION DE PIEZAS DE HIERRO Y ACERO;BURDINA ETA ALTZAIRUZKO PIEZEN GALDAKETA 
131120;FUNDICION DE PIEZAS DE METALES NO FERREOS Y SUS ALEACIONES;BURDINAZKOAK EZ DIREN METALEN ETA BERAUEN ALEAZIOEN PIEZEN GALDAKETA 
131200;FORJA, ESTAMPADO, EMBUTICION, TROQUELADO, CORTE Y REPULSADO;FORJAKETA, ESTANPAKETA, TROKELAKETA, EBAKETA ETA ERREPULTSATUA 
131300;TRATAMIENTO Y RECUBRIMIENTO DE LOS METALES;METALEN TRATAMENDU ETA GAINESTALDURA 
131410;CARPINTERIA METALICA;METALEZKO AROZGINTZA 
131420;FABRICACION DE ESTRUCTURAS METALICAS;METALEZKO EGITUREN FABRIKAZIOA 
131500;CONSTRUCCION DE GRANDES DEPOSITOS Y CALDERERIA GRUESA;GORDAILU HANDI ETA GALDARA LODIEN ERAIKUNTZA 
131610;FABRICACION DE HERRAMIENTAS MANUALES;ESKU ERREMINTEN FABRIKAZIOA 
131620;FABRICACION DE ARTICULOS DE FERRETERIA Y CERRAJERIA;BURDINDEGI ZERRAILTEGIETAKO GAIEN FABRIKAZIOA 
131630;TORNILLERIA Y FABRICACION DE ARTICULOS DERIVADOS DEL ALAMBRE;TORLOJUGINTZA ETA HARIAREN GAI ERATORRIEN FABRIKAZIOA 
131640;FABRICACION DE ARTICULOS DE MENAJE;TRESNERIAGAIEN FABRIKAZIOA 
131650;FABRICACION COCINAS, CALENTADORES Y APARATOS DOMESTICOS DE CALEFACCION,NO ELEC;SUTEGI, BEROGAILU ETA BEROGINTZAKO APARATU ETXETIAR EZ ELEKTRIKOEN FABRIKAZIOA 
131660;FABRICACION DE MOBILIARIO METALICO;METALEZKO ALTZARIEN FABRIKAZIOA 
131670;FABRICACION DE RECIPIENTES Y ENVASES METALICOS;METALEZKO ALTZARIEN FABRIKAZIOA 
131680;FABRICACION DE ARMAS LIGERAS Y SUS MUNICIONES;SUARMA ARINEN ETA BERAUEN MUNIZIOEN FABRIKAZIOA 
131690;FABRICACION DE OTROS ARTICULOS ACABADOS EN METALES N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN METALEZ AKABATZEN DIREN GAIEN FABRIKAZIOA 
131910;MECANICA GENERAL;MEKANIKA OROKORRA 
131990;TALLERES MECANICOS N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN MEKANIKA LANTEGUIAK 
132110;CONSTRUCCION DE MAQUINAS AGRICOLAS;NEKAZAL MAKINAGINTZA 
